,ETL Tstamp Time,Event Name,Event Details
72,2025-12-19 10:11:50,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Loom Crawler""}"
73,2025-12-19 10:12:00,Silk Gained,"{""Amount"": 3, ""Total"": 41}"
74,2025-12-19 10:12:10,Card Played,"{""Card"": ""Azure Stitch""}"
75,2025-12-19 10:12:20,Silk Gained,"{""Amount"": 5, ""Total"": 46}"
76,2025-12-19 10:12:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 1, ""Remaining"": 57}"
77,2025-12-19 10:12:40,Turn Ended,"{""Health"": 57}"
78,2025-12-19 10:12:50,Combat Ended,"{""Result"": ""Victory""}"
79,2025-12-19 10:13:00,Node Selected,"{""Node_Level"": 3, ""Type"": ""Combat""}"
80,2025-12-19 10:13:10,Combat Started,"{""Enemies"": ['Void Mite', 'Loom Crawler', 'Loom Crawler', 'Ink Wraith'], ""Environment"": ""Standard""}"
81,2025-12-19 10:13:20,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
82,2025-12-19 10:13:30,Card Played,"{""Card"": ""Vantablack Ink""}"
83,2025-12-19 10:13:40,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Loom Crawler""}"
84,2025-12-19 10:13:50,Card Played,"{""Card"": ""Echoing Step""}"
85,2025-12-19 10:14:00,Card Played,"{""Card"": ""Vantablack Ink""}"
86,2025-12-19 10:14:10,Card Played,"{""Card"": ""Echoing Step""}"
87,2025-12-19 10:14:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 57}"
88,2025-12-19 10:14:30,Turn Ended,"{""Health"": 57}"
89,2025-12-19 10:14:40,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
90,2025-12-19 10:14:50,Card Played,"{""Card"": ""Azure Stitch""}"
91,2025-12-19 10:15:00,Card Played,"{""Card"": ""Web Trap""}"
92,2025-12-19 10:15:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
93,2025-12-19 10:15:20,Silk Gained,"{""Amount"": 5, ""Total"": 51}"
94,2025-12-19 10:15:30,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Void Mite""}"
95,2025-12-19 10:15:40,Silk Gained,"{""Amount"": 5, ""Total"": 56}"
96,2025-12-19 10:15:50,Card Played,"{""Card"": ""Echoing Step""}"
97,2025-12-19 10:16:00,Silk Gained,"{""Amount"": 4, ""Total"": 60}"
98,2025-12-19 10:16:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
99,2025-12-19 10:16:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 52}"
100,2025-12-19 10:16:30,Turn Ended,"{""Health"": 52}"
101,2025-12-19 10:16:40,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
102,2025-12-19 10:16:50,Card Played,"{""Card"": ""Echoing Step""}"
103,2025-12-19 10:17:00,Silk Gained,"{""Amount"": 3, ""Total"": 63}"
104,2025-12-19 10:17:10,Card Played,"{""Card"": ""Vantablack Ink""}"
105,2025-12-19 10:17:20,Silk Gained,"{""Amount"": 1, ""Total"": 64}"
106,2025-12-19 10:17:30,Card Played,"{""Card"": ""Azure Stitch""}"
107,2025-12-19 10:17:40,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Loom Crawler""}"
108,2025-12-19 10:17:50,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Loom Crawler""}"
109,2025-12-19 10:18:00,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Void Mite""}"
110,2025-12-19 10:18:10,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 3, ""Remaining"": 49}"
111,2025-12-19 10:18:20,Turn Ended,"{""Health"": 49}"
112,2025-12-19 10:18:30,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
113,2025-12-19 10:18:40,Card Played,"{""Card"": ""Echoing Step""}"
114,2025-12-19 10:18:50,Silk Gained,"{""Amount"": 3, ""Total"": 67}"
115,2025-12-19 10:19:00,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Void Mite""}"
116,2025-12-19 10:19:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
117,2025-12-19 10:19:20,Silk Gained,"{""Amount"": 4, ""Total"": 71}"
118,2025-12-19 10:19:30,Card Played,"{""Card"": ""Thread Pull""}"
119,2025-12-19 10:19:40,Card Played,"{""Card"": ""Echoing Step""}"
120,2025-12-19 10:19:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 43}"
121,2025-12-19 10:20:00,Turn Ended,"{""Health"": 43}"
122,2025-12-19 10:20:10,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
123,2025-12-19 10:20:20,Card Played,"{""Card"": ""Vantablack Ink""}"
124,2025-12-19 10:20:30,Silk Gained,"{""Amount"": 1, ""Total"": 72}"
125,2025-12-19 10:20:40,Card Played,"{""Card"": ""Azure Stitch""}"
126,2025-12-19 10:20:50,Silk Gained,"{""Amount"": 2, ""Total"": 74}"
127,2025-12-19 10:21:00,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Void Mite""}"
128,2025-12-19 10:21:10,Card Played,"{""Card"": ""Web Trap""}"
129,2025-12-19 10:21:20,Card Played,"{""Card"": ""Vantablack Ink""}"
130,2025-12-19 10:21:30,Silk Gained,"{""Amount"": 5, ""Total"": 79}"
131,2025-12-19 10:21:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 37}"
132,2025-12-19 10:21:50,Turn Ended,"{""Health"": 37}"
133,2025-12-19 10:22:00,Turn Started,"{""Turn"": 6, ""Energy"": 3}"
134,2025-12-19 10:22:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Loom Crawler""}"
135,2025-12-19 10:22:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
136,2025-12-19 10:22:30,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
137,2025-12-19 10:22:40,Card Played,"{""Card"": ""Echoing Step""}"
138,2025-12-19 10:22:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 33}"
139,2025-12-19 10:23:00,Turn Ended,"{""Health"": 33}"
140,2025-12-19 10:23:10,Combat Ended,"{""Result"": ""Victory""}"
141,2025-12-19 10:23:20,Node Selected,"{""Node_Level"": 4, ""Type"": ""Shop""}"
142,2025-12-19 10:23:30,Purchase Made,"{""Item"": ""Health Potion"", ""Cost"": 25}"
143,2025-12-19 10:23:40,Health Changed,"{""Current"": 58}"
144,2025-12-19 10:23:50,Node Selected,"{""Node_Level"": 5, ""Type"": ""Rest Stop""}"
145,2025-12-19 10:24:00,Card Upgraded,"{""Card"": ""Loom Burst"", ""New"": ""Loom Burst+""}"
146,2025-12-19 10:24:10,Node Selected,"{""Node_Level"": 6, ""Type"": ""Shop""}"
147,2025-12-19 10:24:20,Purchase Made,"{""Item"": ""Health Potion"", ""Cost"": 25}"
148,2025-12-19 10:24:30,Health Changed,"{""Current"": 80}"
149,2025-12-19 10:24:40,Level Up,"{""Level"": 2}"
150,2025-12-19 10:24:50,Node Selected,"{""Node_Level"": 7, ""Type"": ""Combat""}"
151,2025-12-19 10:25:00,Combat Started,"{""Enemies"": ['Thorny Core', 'Thorny Core', 'Shadow Husk'], ""Environment"": ""Standard""}"
152,2025-12-19 10:25:10,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
153,2025-12-19 10:25:20,Card Played,"{""Card"": ""Thread Pull""}"
154,2025-12-19 10:25:30,Card Played,"{""Card"": ""Vantablack Ink""}"
155,2025-12-19 10:25:40,Card Played,"{""Card"": ""Web Trap""}"
156,2025-12-19 10:25:50,Card Played,"{""Card"": ""Azure Stitch""}"
157,2025-12-19 10:26:00,Silk Gained,"{""Amount"": 1, ""Total"": 80}"
158,2025-12-19 10:26:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
159,2025-12-19 10:26:20,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
160,2025-12-19 10:26:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 0, ""Remaining"": 80}"
161,2025-12-19 10:26:40,Turn Ended,"{""Health"": 80}"
162,2025-12-19 10:26:50,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
163,2025-12-19 10:27:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
164,2025-12-19 10:27:10,Silk Gained,"{""Amount"": 2, ""Total"": 82}"
165,2025-12-19 10:27:20,Card Played,"{""Card"": ""Echoing Step""}"
166,2025-12-19 10:27:30,Card Played,"{""Card"": ""Web Trap""}"
167,2025-12-19 10:27:40,Silk Gained,"{""Amount"": 5, ""Total"": 87}"
168,2025-12-19 10:27:50,Card Played,"{""Card"": ""Echoing Step""}"
169,2025-12-19 10:28:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
170,2025-12-19 10:28:10,Card Played,"{""Card"": ""Thread Pull""}"
171,2025-12-19 10:28:20,Card Played,"{""Card"": ""Web Trap""}"
172,2025-12-19 10:28:30,Silk Gained,"{""Amount"": 3, ""Total"": 90}"
173,2025-12-19 10:28:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 1, ""Remaining"": 79}"
174,2025-12-19 10:28:50,Turn Ended,"{""Health"": 79}"
175,2025-12-19 10:29:00,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
176,2025-12-19 10:29:10,Card Played,"{""Card"": ""Thread Pull""}"
177,2025-12-19 10:29:20,Silk Gained,"{""Amount"": 5, ""Total"": 95}"
178,2025-12-19 10:29:30,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Shadow Husk""}"
179,2025-12-19 10:29:40,Silk Gained,"{""Amount"": 1, ""Total"": 96}"
180,2025-12-19 10:29:50,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Thorny Core""}"
181,2025-12-19 10:30:00,Card Played,"{""Card"": ""Azure Stitch""}"
182,2025-12-19 10:30:10,Silk Gained,"{""Amount"": 3, ""Total"": 99}"
183,2025-12-19 10:30:20,Card Played,"{""Card"": ""Echoing Step""}"
184,2025-12-19 10:30:30,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
185,2025-12-19 10:30:40,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
186,2025-12-19 10:30:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 3, ""Remaining"": 76}"
187,2025-12-19 10:31:00,Turn Ended,"{""Health"": 76}"
188,2025-12-19 10:31:10,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
189,2025-12-19 10:31:20,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Shadow Husk""}"
190,2025-12-19 10:31:30,Card Played,"{""Card"": ""Azure Stitch""}"
191,2025-12-19 10:31:40,Card Played,"{""Card"": ""Azure Stitch""}"
192,2025-12-19 10:31:50,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Thorny Core""}"
193,2025-12-19 10:32:00,Card Played,"{""Card"": ""Web Trap""}"
194,2025-12-19 10:32:10,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 71}"
195,2025-12-19 10:32:20,Turn Ended,"{""Health"": 71}"
196,2025-12-19 10:32:30,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
197,2025-12-19 10:32:40,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
198,2025-12-19 10:32:50,Silk Gained,"{""Amount"": 4, ""Total"": 103}"
199,2025-12-19 10:33:00,Card Played,"{""Card"": ""Azure Stitch""}"
200,2025-12-19 10:33:10,Silk Gained,"{""Amount"": 2, ""Total"": 105}"
201,2025-12-19 10:33:20,Card Played,"{""Card"": ""Thread Pull""}"
202,2025-12-19 10:33:30,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Thorny Core""}"
203,2025-12-19 10:33:40,Silk Gained,"{""Amount"": 4, ""Total"": 109}"
204,2025-12-19 10:33:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 4, ""Remaining"": 67}"
205,2025-12-19 10:34:00,Turn Ended,"{""Health"": 67}"
206,2025-12-19 10:34:10,Turn Started,"{""Turn"": 6, ""Energy"": 3}"
207,2025-12-19 10:34:20,Card Played,"{""Card"": ""Vantablack Ink""}"
208,2025-12-19 10:34:30,Silk Gained,"{""Amount"": 3, ""Total"": 112}"
209,2025-12-19 10:34:40,Card Played,"{""Card"": ""Echoing Step""}"
210,2025-12-19 10:34:50,Card Played,"{""Card"": ""Azure Stitch""}"
211,2025-12-19 10:35:00,Card Played,"{""Card"": ""Echoing Step""}"
212,2025-12-19 10:35:10,Silk Gained,"{""Amount"": 3, ""Total"": 115}"
213,2025-12-19 10:35:20,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Thorny Core""}"
214,2025-12-19 10:35:30,Card Played,"{""Card"": ""Echoing Step""}"
215,2025-12-19 10:35:40,Card Played,"{""Card"": ""Thread Pull""}"
216,2025-12-19 10:35:50,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 61}"
217,2025-12-19 10:36:00,Turn Ended,"{""Health"": 61}"
218,2025-12-19 10:36:10,Turn Started,"{""Turn"": 7, ""Energy"": 3}"
219,2025-12-19 10:36:20,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Thorny Core""}"
220,2025-12-19 10:36:30,Silk Gained,"{""Amount"": 5, ""Total"": 120}"
221,2025-12-19 10:36:40,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
222,2025-12-19 10:36:50,Silk Gained,"{""Amount"": 1, ""Total"": 121}"
223,2025-12-19 10:37:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
224,2025-12-19 10:37:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
225,2025-12-19 10:37:20,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Thorny Core""}"
226,2025-12-19 10:37:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 8, ""Remaining"": 53}"
227,2025-12-19 10:37:40,Turn Ended,"{""Health"": 53}"
228,2025-12-19 10:37:50,Turn Started,"{""Turn"": 8, ""Energy"": 3}"
229,2025-12-19 10:38:00,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
230,2025-12-19 10:38:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
231,2025-12-19 10:38:20,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Thorny Core""}"
232,2025-12-19 10:38:30,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Shadow Husk""}"
233,2025-12-19 10:38:40,Card Played,"{""Card"": ""Web Trap""}"
234,2025-12-19 10:38:50,Silk Gained,"{""Amount"": 3, ""Total"": 124}"
235,2025-12-19 10:39:00,Card Played,"{""Card"": ""Echoing Step""}"
236,2025-12-19 10:39:10,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 47}"
237,2025-12-19 10:39:20,Turn Ended,"{""Health"": 47}"
238,2025-12-19 10:39:30,Combat Ended,"{""Result"": ""Victory""}"
239,2025-12-19 10:39:40,Node Selected,"{""Node_Level"": 8, ""Type"": ""Combat""}"
240,2025-12-19 10:39:50,Combat Started,"{""Enemies"": ['Ink Wraith'], ""Environment"": ""Standard""}"
241,2025-12-19 10:40:00,Turn Started,"{""Turn"": 1, ""Energy"": 3}"
242,2025-12-19 10:40:10,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
243,2025-12-19 10:40:20,Card Played,"{""Card"": ""Azure Stitch""}"
244,2025-12-19 10:40:30,Card Played,"{""Card"": ""Vantablack Ink""}"
245,2025-12-19 10:40:40,Card Played,"{""Card"": ""Vantablack Ink""}"
246,2025-12-19 10:40:50,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
247,2025-12-19 10:41:00,Silk Gained,"{""Amount"": 3, ""Total"": 127}"
248,2025-12-19 10:41:10,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
249,2025-12-19 10:41:20,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 2, ""Remaining"": 50}"
250,2025-12-19 10:41:30,Turn Ended,"{""Health"": 50}"
251,2025-12-19 10:41:40,Turn Started,"{""Turn"": 2, ""Energy"": 3}"
252,2025-12-19 10:41:50,Card Played,"{""Card"": ""Echoing Step""}"
253,2025-12-19 10:42:00,Card Played,"{""Card"": ""Azure Stitch""}"
254,2025-12-19 10:42:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
255,2025-12-19 10:42:20,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
256,2025-12-19 10:42:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 3, ""Remaining"": 47}"
257,2025-12-19 10:42:40,Turn Ended,"{""Health"": 47}"
258,2025-12-19 10:42:50,Turn Started,"{""Turn"": 3, ""Energy"": 3}"
259,2025-12-19 10:43:00,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
260,2025-12-19 10:43:10,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
261,2025-12-19 10:43:20,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
262,2025-12-19 10:43:30,Card Played,"{""Card"": ""Silk Shield"", ""Block"": 8}"
263,2025-12-19 10:43:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 6, ""Remaining"": 41}"
264,2025-12-19 10:43:50,Turn Ended,"{""Health"": 41}"
265,2025-12-19 10:44:00,Turn Started,"{""Turn"": 4, ""Energy"": 3}"
266,2025-12-19 10:44:10,Card Played,"{""Card"": ""Azure Stitch""}"
267,2025-12-19 10:44:20,Silk Gained,"{""Amount"": 2, ""Total"": 129}"
268,2025-12-19 10:44:30,Card Played,"{""Card"": ""Web Trap""}"
269,2025-12-19 10:44:40,Card Played,"{""Card"": ""Thread Pull""}"
270,2025-12-19 10:44:50,Silk Gained,"{""Amount"": 4, ""Total"": 133}"
271,2025-12-19 10:45:00,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
272,2025-12-19 10:45:10,Silk Gained,"{""Amount"": 2, ""Total"": 135}"
273,2025-12-19 10:45:20,Card Played,"{""Card"": ""Thread Pull""}"
274,2025-12-19 10:45:30,Card Played,"{""Card"": ""Vantablack Ink""}"
275,2025-12-19 10:45:40,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 5, ""Remaining"": 36}"
276,2025-12-19 10:45:50,Turn Ended,"{""Health"": 36}"
277,2025-12-19 10:46:00,Turn Started,"{""Turn"": 5, ""Energy"": 3}"
278,2025-12-19 10:46:10,Card Played,"{""Card"": ""Web Trap""}"
279,2025-12-19 10:46:20,Card Played,"{""Card"": ""Final Knot"", ""Damage"": 15, ""Target"": ""Ink Wraith""}"
280,2025-12-19 10:46:30,Card Played,"{""Card"": ""Web Trap""}"
281,2025-12-19 10:46:40,Silk Gained,"{""Amount"": 2, ""Total"": 137}"
282,2025-12-19 10:46:50,Card Played,"{""Card"": ""Azure Stitch""}"
283,2025-12-19 10:47:00,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
284,2025-12-19 10:47:10,Card Played,"{""Card"": ""Prismatic Needle"", ""Damage"": 8, ""Target"": ""Ink Wraith""}"
285,2025-12-19 10:47:20,Silk Gained,"{""Amount"": 1, ""Total"": 138}"
286,2025-12-19 10:47:30,Player Health Changed,"{""Source"": ""Enemies"", ""Damage"": 1, ""Remaining"": 35}"
287,2025-12-19 10:47:40,Turn Ended,"{""Health"": 35}"
288,2025-12-19 10:47:50,Turn Started,"{""Turn"": 6, ""Energy"": 3}"
289,2025-12-19 10:48:00,Card Played,"{""Card"": ""Web Trap""}"
290,2025-12-19 10:48:10,Card Played,"{""Card"": ""Loom Burst"", ""Damage"": 5, ""Target"": ""Ink Wraith""}"
291,2025-12-19 10:48:20,Silk Gained,"{""Amount"": 4, ""Total"": 142}"
